Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
DISCOVERING TISSUE-SPECIFIC BIOMARKERS OF RADIATION INJURY IN SILAC-LABELED MICE		NIAID	8662694	5R01AI101832-03	5	R01	AI	101832	3			1929009	PAULOVICH, AMANDA G	PAULOVICH, AMANDA G		Not Applicable	Fred Hutch	 	2014	440000		440000
POPULATION-BASED STUDY OF DNA DAMAGE RESPONSE MARKERS OF PROGNOSIS IN BREAST CANC		NCI	8728124	5P50CA138293-05	5	P50	CA	138293	5		6632	1929009	PAULOVICH, AMANDA G	PAULOVICH, AMANDA G		Not Applicable	Fred Hutch	 	2014		141126	141126
ADVANCED DEVELOPMENT OF IMMUNO-MRM TECHNOLOGY TO ANALYZE ARCHIVED CANCER TISSUES		NCI	8723136	5R33CA173300-02	5	R33	CA	173300	2			1929009	PAULOVICH, AMANDA G	PAULOVICH, AMANDA G		Not Applicable	Fred Hutch	 	2014	399609		399609
STATISTICAL METHODS FOR MEDICAL TESTS AND BIOMARKERS		NIGMS	8649047	5R01GM054438-17	5	R01	GM	54438	17			1893639	PEPE, MARGARET S.	PEPE, MARGARET S.		Not Applicable	Fred Hutch	 	2014	333535		333535
PROSPECTIVE STUDY ON SELENIUM; GENECTICS OF SELENOENZYMES; AND COLORECTAL CANCER		NCI	8690787	5R01CA120582-08	5	R01	CA	120582	8			8211602	PETERS, ULRIKE 	PETERS, ULRIKE		Not Applicable	Fred Hutch	 	2014	17358		17358
MOLECULAR PATHOLOGICAL EPIDEMIOLOGY OF COLORECTAL CANCER		NCI	8760147	2U01CA137088-05	2	U01	CA	137088	5			8211602	PETERS, ULRIKE 	PETERS, ULRIKE		Not Applicable	Fred Hutch	 	2014	2293434		2293434
DETECTION OF COLORECTAL CANCER SUSCEPTIBILITY LOCI USING GENOME-WIDE SEQUENCING		NCI	8726738	5U01CA164930-03	5	U01	CA	164930	3			8211602	PETERS, ULRIKE 	PETERS, ULRIKE		Not Applicable	Fred Hutch	 	2014	3089802		3089802
COLORECTAL TUMOR RISK PREDICTION IN THE PLCO TRIAL		NCI	8810505	1U01CA185094-01A1	1	U01	CA	185094	1	A1		8211602	PETERS, ULRIKE 	PETERS, ULRIKE		Not Applicable	Fred Hutch	 	2014	736996		736996
HEMATOPOIETIC STEM CELL AND CORD BLOOD TRANSPLANTATION		NIAID	8705989	5U01AI069197-10	5	U01	AI	69197	10			1938880	PETERSDORF, EFFIE W	PETERSDORF, EFFIE W		Not Applicable	Fred Hutch	 	2014	936216		936216
IMMUNOGENETICS OF GRAFT-VERSUS-HOST DISEASE		NCI	8733523	5P01CA018029-39	5	P01	CA	18029	39		5851	1938880	PETERSDORF, EFFIE W	PETERSDORF, EFFIE W		Not Applicable	Fred Hutch	 	2014		2035982	2035982
CLINICAL SIGNIFICANCE OF MHC HAPLOTYPES IN HCT		NCI	8716678	5R01CA100019-12	5	R01	CA	100019	12			1938880	PETERSDORF, EFFIE W	PETERSDORF, EFFIE W		Not Applicable	Fred Hutch	 	2014	324901		324901
GENETIC MECHANISMS OF SURVIVORSHIP DISPARITIES AFTER UNRELATED HCT		NCI	8707404	5U01CA162194-04	5	U01	CA	162194	4			1938880	PETERSDORF, EFFIE W	PETERSDORF, EFFIE W		Not Applicable	Fred Hutch	 	2014	340670		340670
PROACTIVE SMOKING CESSATION FOR ADOLESCENTS		NCI	8587465	5R01CA082569-13	5	R01	CA	82569	13			1863977	PETERSON, ARTHUR V	PETERSON, ARTHUR V		Not Applicable	Fred Hutch	 	2014	905059		905059
LIFESTYLE FACTORS AND SURVIVAL OUTCOMES FOR COLORECTAL CANCER MOLECULAR SUBTYPES		NCI	8618874	5K07CA172298-02	5	K07	CA	172298	2			9106040	PHIPPS, AMANDA IRENE	PHIPPS, AMANDA IRENE		Not Applicable	Fred Hutch	 	2014	96664		96664
HUMAN HERPESVIRUS-8 REPLICATION AND KAPOSI SARCOMA RESPONSE TO TREATMENT		NCI	8700130	5K23CA150931-04	5	K23	CA	150931	4			9727233	PHIPPS, WARREN 	PHIPPS, WARREN		Not Applicable	Fred Hutch	 	2014	144967		144967
ADOPTIVE T CELL THERAPY FOR PATIENTS WITH NY-ESO-1 EXPRESSING SARCOMAS		NCI	8725610	5K23CA175167-02	5	K23	CA	175167	2			10327418	POLLACK, SETH M	POLLACK, SETH M		Not Applicable	Fred Hutch	 	2014	171720		171720
CYTOPLASMIC MISLOCALIZATION OF P27KIP1 AS A CAUSATIVE FACTOR AND PROGNOSTIC MARKE		NCI	8728121	5P50CA138293-05	5	P50	CA	138293	5		6616	1879190	PORTER, PEGGY L.	PORTER, PEGGY L.		Not Applicable	Fred Hutch	 	2014		226500	226500
LEADERSHIP		NCI	8728125	5P50CA138293-05	5	P50	CA	138293	5		6633	1879190	PORTER, PEGGY L.	PORTER, PEGGY L.		Not Applicable	Fred Hutch	 	2014		132852	132852
SPECIMEN ACQUISITION AND PATHOLOGY		NCI	8728126	5P50CA138293-05	5	P50	CA	138293	5		6634	1879190	PORTER, PEGGY L.	PORTER, PEGGY L.		Not Applicable	Fred Hutch	 	2014		237818	237818
DEVELOPMENTAL RESEARCH PROGRAM		NCI	8728129	5P50CA138293-05	5	P50	CA	138293	5		6641	1879190	PORTER, PEGGY L.	PORTER, PEGGY L.		Not Applicable	Fred Hutch	 	2014		136330	136330
CAREER DEVELOPMENT PROGRAM		NCI	8728130	5P50CA138293-05	5	P50	CA	138293	5		6644	1879190	PORTER, PEGGY L.	PORTER, PEGGY L.		Not Applicable	Fred Hutch	 	2014		81145	81145
SEATTLE CANCER CONSORTIUM BREAST SPORE		NCI	8728120	5P50CA138293-05	5	P50	CA	138293	5			1879190	PORTER, PEGGY L.	PORTER, PEGGY L.		Not Applicable	Fred Hutch	 	2014	2150779		2150779
RELATIONSHIP OF BREAST CANCER SUBTYPE; RISK FACTORS AND ANCESTRY IN HISPANIC A...		NCI	8725071	5P50CA148143-05	5	P50	CA	148143	5		6186	1879190	PORTER, PEGGY L.	PORTER, PEGGY L.		Not Applicable	Fred Hutch	 	2014		188847	188847
T CELL IMMUNITY TO HSV-2 IN IMMUNE SERONEGATIVE SUBJECTS		NIAID	8650255	5R01AI091701-04	5	R01	AI	91701	4			6167536	POSAVAD, CHRISTINE M	POSAVAD, CHRISTINE M		Not Applicable	Fred Hutch	 	2014	420699		420699
CHRONIC DISEASE POPULATION RESEARCH ISSUES AND STRATEGIES		NCI	8692662	5P01CA053996-37	5	P01	CA	53996	37		6126	1968026	PRENTICE, ROSS L	PRENTICE, ROSS L		Not Applicable	Fred Hutch	 	2014		183068	183068
ADMINISTRATIVE CORE		NCI	8692665	5P01CA053996-37	5	P01	CA	53996	37		6130	1968026	PRENTICE, ROSS L	PRENTICE, ROSS L		Not Applicable	Fred Hutch	 	2014		97494	97494
STATISTICAL METHODS FOR MEDICAL STUDIES		NCI	8692661	5P01CA053996-37	5	P01	CA	53996	37			1968026	PRENTICE, ROSS L	PRENTICE, ROSS L		Not Applicable	Fred Hutch	 	2014	621714		621714
NUTRITION AND PHYSICAL ACTIVITY ASSESSMENT STUDY (NPAAS)		NCI	8665883	5R01CA119171-08	5	R01	CA	119171	8			1968026	PRENTICE, ROSS L 	PRENTICE, ROSS L		LAMPE, JOHANNA W	Fred Hutch	 	2014	136158		136158
PRETARGETED RADIOIMMUNOTHERAPY FOR HEMATOLOGIC MALIGNANCIES		NCI	8719025	5P01CA044991-26	5	P01	CA	44991	26		8454	8259062	PRESS, OLIVER W.	PRESS, OLIVER W.		Not Applicable	Fred Hutch	 	2014		304825	304825
ADMINISTRATIVE AND STATISTICAL CORE		NCI	8719026	5P01CA044991-26	5	P01	CA	44991	26		8455	8259062	PRESS, OLIVER W.	PRESS, OLIVER W.		Not Applicable	Fred Hutch	 	2014		460927	460927
THERAPY OF LYMPHOMA/LEUKEMIA WITH MONOCLONAL ANTIBODIES		NCI	8719022	5P01CA044991-26	5	P01	CA	44991	26			8259062	PRESS, OLIVER W.	PRESS, OLIVER W.		Not Applicable	Fred Hutch	 	2014	2148164		2148164
PRETARGETED RADIOIMMUNOTHERAPY OF CD20+ LYMPHOMAS		NCI	8759941	2R01CA076287-15	2	R01	CA	76287	15			8259062	PRESS, OLIVER W.	PRESS, OLIVER W.		Not Applicable	Fred Hutch	 	2014	405431		405431
BONE MARROW TRANSPLANTATION FOR HEMATOLOGIC MALIGNANCIES USING NOVEL RADIOIMMUNOT		NCI	8774787	3R01CA138720-05S1	3	R01	CA	138720	5	S1		8259062	PRESS, OLIVER W.	PRESS, OLIVER W.		Not Applicable	Fred Hutch	 	2014	64750		64750
BONE MARROW TRANSPLANTATION FOR HEMATOLOGIC MALIGNANCIES USING NOVEL RADIOIMMUNOT		NCI	8591380	5R01CA138720-05	5	R01	CA	138720	5			8259062	PRESS, OLIVER W.	PRESS, OLIVER W.		Not Applicable	Fred Hutch	 	2014	343617		343617
CD38 PRETARGETED RADIOIMMUNOTHERAPY FOR MYELOMA		NCI	8657898	5R01CA154897-04	5	R01	CA	154897	4			8259062	PRESS, OLIVER W.	PRESS, OLIVER W.		Not Applicable	Fred Hutch	 	2014	345117		345117
MECHANISMS OF EPITHELIAL REMODELING DURING ORGAN DEVELOPMENT IN C. ELEGANS		NIGMS	8721437	5R01GM098583-04	5	R01	GM	98583	4			1860036	PRIESS, JAMES R	PRIESS, JAMES R		Not Applicable	Fred Hutch	 	2014	525535		525535
THE ROLE OF THE CYTOSKELETON IN GERM CELL APOPTOSIS IN C. ELEGANS		NIGMS	8720793	5R01GM107474-02	5	R01	GM	107474	2			1860036	PRIESS, JAMES R	PRIESS, JAMES R		Not Applicable	Fred Hutch	 	2014	320028		320028
PAVING THE WAY FOR A NOVEL THERAPEUTIC APPROACH TO COMBAT HIV		NIDCR	8926538	3DP2DE023321-01S1	3	DP2	DE	23321	1	S1		9239370	PRLIC, MARTIN 	PRLIC, MARTIN		Not Applicable	Fred Hutch	 	2014	299638		299638
MOLECULAR DIAGNOSTICS		NCI	8733528	5P01CA018029-39	5	P01	CA	18029	39		5857	1938875	RADICH, JERALD PATRICK	RADICH, JERALD PATRICK		Not Applicable	Fred Hutch	 	2014		130950	130950
THE GENETICS OF POST-TRANSPLANT RELAPSE IN MYELOID MALIGNANCY		NCI	8691752	5R01CA175008-02	5	R01	CA	175008	2			1938875	RADICH, JERALD PATRICK	RADICH, JERALD PATRICK		Not Applicable	Fred Hutch	 	2014	354244		354244
SINGLE-CELL METHODS FOR ANALYSIS OF CLONAL HETEROGENEITY AND EVOLUTION IN CANCER		NCI	8655834	5R01CA175215-02	5	R01	CA	175215	2			1938875	RADICH, JERALD PATRICK	RADICH, JERALD PATRICK		Not Applicable	Fred Hutch	 	2014	573794		573794
ENDOTHELIAL-DERIVED ANGIOCRINE FACTORS IN PROGRESSION OF BRAIN TUMORS		NCI	8731828	5U54CA163167-04	5	U54	CA	163167	4		5275	8501510	RAFI, SHAHIN 	RAFI, SHAHIN		Not Applicable	Fred Hutch	 	2014		399944	399944
NUCLEAR MEDICINE CORE		NCI	8719027	5P01CA044991-26	5	P01	CA	44991	26		8456	7906287	RAJENDRAN, JOSEPH G	RAJENDRAN, JOSEPH G		Not Applicable	Fred Hutch	 	2014		601896	601896
BMT CTN 1101 ANCILLARY COST-EFFECTIVENESS ANALYSIS		NHLBI	8702228	5R01HL116291-03	5	R01	HL	116291	3			1886032	RAMSEY, SCOTT D	RAMSEY, SCOTT D		Not Applicable	Fred Hutch	 	2014	431200		431200
GENOME DYNAMICS		NCI	8668333	2P01CA091955-11A1	2	P01	CA	91955	11	A1	6496	1863901	REID, BRIAN J	REID, BRIAN J		Not Applicable	Fred Hutch	 	2014		1164871	1164871
LEADERSHIP		NCI	8668336	2P01CA091955-11A1	2	P01	CA	91955	11	A1	6501	1863901	REID, BRIAN J	REID, BRIAN J		Not Applicable	Fred Hutch	 	2014		369982	369982
BARRETT'S ESOPHAGUS: PREDICTORS OF PROGRESSION		NCI	8668332	2P01CA091955-11A1	2	P01	CA	91955	11	A1		1863901	REID, BRIAN J	REID, BRIAN J		Not Applicable	Fred Hutch	 	2014	2528093		2528093
(PQA1) ASPIRIN AND INFLAMMATION: MUTATIONS; GENES; PATHWAYS AND PREVENTION		NCI	8723785	5R01CA179949-02	5	R01	CA	179949	2			1863901	REID, BRIAN J 	REID, BRIAN J		LI, XIAOHONG 	Fred Hutch	 	2014	460691		460691
LEUKOCYTE TELOMERE LENGTH AND CARDIOVASCULAR DISEASE IN JACKSON HEART STUDY		NHLBI	8703769	5R01HL116446-02	5	R01	HL	116446	2			1973161	REINER, ALEXANDER P 	REINER, ALEXANDER P		AVIV, ABRAHAM ;WILSON, JAMES GRAHAM	Fred Hutch	 	2014	773363		773363
STRATEGIES TO IMPROVE THE ADOPTIVE TRANSFER OF T CELLS		NCI	8597521	5R01CA114536-10	5	R01	CA	114536	10			2183197	RIDDELL, STANLEY R.	RIDDELL, STANLEY R.		Not Applicable	Fred Hutch	 	2014	448945		448945
TARGETED THERAPY OF B CELL MALIGNANCES WITH CAR-T CELLS OF DEFINED COMPOSITION		NCI	8827126	2R01CA136551-06A1	2	R01	CA	136551	6	A1		2183197	RIDDELL, STANLEY R. 	RIDDELL, STANLEY R.		JENSEN, MICHAEL C	Fred Hutch	 	2014	579424		579424
TARGETED IMMUNOTHERAPY OF BREAST CANCER WITH CENTRAL MEMORY T CELLS		NCI	8728122	5P50CA138293-05	5	P50	CA	138293	5		6618	2183197	RIDDELL, STANLEY R.	RIDDELL, STANLEY R.		Not Applicable	Fred Hutch	 	2014		330935	330935
NAIVE T CELL DEPLETION TO PREVENT GRAFT-VERSUS-HOST DISEASE		NHLBI	8693607	1R01HL121568-01A1	1	R01	HL	121568	1	A1		2183197	RIDDELL, STANLEY R. 	RIDDELL, STANLEY R.		BLEAKLEY, MARIE 	Fred Hutch	 	2014	586112		586112
HIGH-THROUGHPUT SEQUENCING OF THE T CELL RECEPTOR IN COLORECTAL TUMOR INFILT		NCI	8702861	1R21CA173570-01A1	1	R21	CA	173570	1	A1		9035617	ROBINS, HARLAN S.	ROBINS, HARLAN S.		Not Applicable	Fred Hutch	 	2014	229680		229680
DEEP SEQUENCING FOR MINIMAL RESIDUAL DISEASE DETECTION IN ACUTE LYMPHOBLASTIC LEU		NCI	8632909	1R01CA175353-01A1	1	R01	CA	175353	1	A1		9035617	ROBINS, HARLAN S. 	ROBINS, HARLAN S.		WOOD, BRENT L;WU, DAVID 	Fred Hutch	 	2014	660085		660085
DYNAMIC INFERENCE		NIGMS	8796464	1U54GM111274-01	1	U54	GM	111274	1		5086	7354847	ROHANI, PEJMAN 	ROHANI, PEJMAN		Not Applicable	Fred Hutch	 	2014		299461	299461
APTAMER &DENDRIMER DELIVERY OF ZN FINGER NUCLEASE &HOMING ENDONUCLEASE MRNA &CDNA		NIAID	8691708	5U19AI096111-04	5	U19	AI	96111	4		8301	1872778	ROSSI, JOHN JOSEPH	ROSSI, JOHN JOSEPH		Not Applicable	Fred Hutch	 	2014		174167	174167
EPIDEMIOLOGIC FACTORS AND SURVIVAL BY MOLECULAR SUBTYPES OF OVARIAN CANCER		NCI	8631078	5R01CA168758-02	5	R01	CA	168758	2			1888515	ROSSING, MARY ANNE 	ROSSING, MARY ANNE		DOHERTY, JENNIFER ANNE	Fred Hutch	 	2014	602370		602370
GENETIC REQUIREMENTS OF HELICOBACTER PYLORI INFECTION		NIAID	8722169	2R01AI054423-11	2	R01	AI	54423	11			1977859	SALAMA, NINA REDA	SALAMA, NINA REDA		Not Applicable	Fred Hutch	 	2014	458447		458447
ELUCIDATION OF A BACTERIAL CELL SHAPE GENERATING PROGRAM AND PATHOGENIC FUNCTIONS		NIAID	8586518	5R01AI094839-03	5	R01	AI	94839	3			1977859	SALAMA, NINA REDA	SALAMA, NINA REDA		Not Applicable	Fred Hutch	 	2014	428796		428796
ALPHA EMITTER LABELED ANTI-T CELL ANTIBODY: TARGETING LATENT HIV INFECTED CELLS		NIAID	8842434	1R21AI116225-01	1	R21	AI	116225	1			1885528	SANDMAIER, BRENDA MARIE	SANDMAIER, BRENDA MARIE		Not Applicable	Fred Hutch	 	2014	256599		256599
PROJECT 2: STEM CELL ALLOGRAFTS FOR ACUTE LEUKEMIA AND MYELODYSPLASIA		NCI	8742471	2P01CA078902-16	2	P01	CA	78902	16		5394	1885528	SANDMAIER, BRENDA MARIE	SANDMAIER, BRENDA MARIE		Not Applicable	Fred Hutch	 	2014		153120	153120
ALPHA RADIOIMMUNOTHERAPY FOR LYMPHOMA TREATMENT		NCI	8601179	5R01CA172582-02	5	R01	CA	172582	2			1885528	SANDMAIER, BRENDA MARIE	SANDMAIER, BRENDA MARIE		Not Applicable	Fred Hutch	 	2014	640365		640365
COMPUTATIONAL DESIGN OF NOVEL ANTIGENS TARGETING MATURE AND GERMLINE B12		NIAID	8960134	7P01AI094419-05	7	P01	AI	94419	5		7754	1950619	SCHIEF, WILLIAM R.	SCHIEF, WILLIAM R.		Not Applicable	Fred Hutch	 	2014		355692	355692
PATTERNS OF CARE/QUALITY OF CARE STUDY: DIAGNOSIS YEAR 2013 (SEER)PERIOD OF PERFORMANCE: 08/15/2014-08/14/2015LINE ITEM #: 1		NCI	8928278	261201300012I-0-26100004-1		N03						12446669	SCHWARTZ, STEPHEN 	SCHWARTZ, STEPHEN		Not Applicable	Fred Hutch	 	2014	67568		67568
TRANSLATIONAL STUDIES OF INHERITED MARROW FAILURE AND MYELODYSPLASTIC SYNDROMES		NIDDK	8734906	5R24DK099808-02	5	R24	DK	99808	2			1890123	SHIMAMURA, AKIKO  	SHIMAMURA, AKIKO		ABKOWITZ, JANIS L.;EBERT, BENJAMIN LEVINE;FLEMING, MARK D;KING, MARY-CLAIRE ;MARKIANOS, KYRIACOS ;WILLIAMS, DAVID A	Fred Hutch	 	2014	1635392		1635392
MOLECULAR ANALYSIS OF HOTSPOTS OF GENETIC RECOMBINATION		NIGMS	8707460	5R01GM031693-32	5	R01	GM	31693	32			1889950	SMITH, GERALD R	SMITH, GERALD R		Not Applicable	Fred Hutch	 	2014	662802		662802
MOLECULAR MECHANISMS OF GENETIC RECOMBINATION		NIGMS	8630559	2R01GM032194-31A1	2	R01	GM	32194	31	A1		1889950	SMITH, GERALD R	SMITH, GERALD R		Not Applicable	Fred Hutch	 	2014	419074		419074
STIMULATION OF TUMORIGENESIS BY NKG2D		NCI	8607522	5R01CA174470-23	5	R01	CA	174470	23			1891730	SPIES, THOMAS 	SPIES, THOMAS		Not Applicable	Fred Hutch	 	2014	627023		627023
MONITORING THE DEVELOPMENT OF ANTI-ENV ABS DURING HIV INFECTION		NIAID	8960102	7R01AI081625-06	7	R01	AI	81625	6			1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014	331232		331232
IDENTIFYING B CELL INTRACELLULAR SIGNALING NETWORKS THAT LEAD TO B12 PRODUCTION		NIAID	8960136	7P01AI094419-05	7	P01	AI	94419	5		7756	1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014		483570	483570
ADMINISTRATIVE CORE		NIAID	8960137	7P01AI094419-05	7	P01	AI	94419	5		7757	1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014		88671	88671
IMMUNOGEN PRODUCTION IN IMMUNIZATIONS		NIAID	8960138	7P01AI094419-05	7	P01	AI	94419	5		8299	1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014		496807	496807
OPTIMIZING HIV IMMUNOGEN-BCR INTERACTIONS FOR VACCINE DEVELOPMENT		NIAID	8960133	7P01AI094419-05	7	P01	AI	94419	5			1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014	1958486		1958486
IMMUNOGEN DESIGN FOR SPECIFIC BCR ACTIVATION		NIAID	8944274	7U19AI109632-02	7	U19	AI	109632	2		7365	1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014		77415	77415
PRECLINICAL EVALUATION OF ENVELOPE IMMUNOGENS OPTIMIZED TO ELICIT VRCOI-CLASS AN		NIAID	8944276	7U19AI109632-02	7	U19	AI	109632	2		7395	1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014		718885	718885
ADMINISTRATIVE CORE		NIAID	8944277	7U19AI109632-02	7	U19	AI	109632	2		7460	1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014		74490	74490
ENVELOPE IMMUNOGEN AND RECOMBINANT ANTIBODY PRODUCTION CORE		NIAID	8944278	7U19AI109632-02	7	U19	AI	109632	2		7461	1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014		157399	157399
ELICITING VRC01-LIKE BNABS BY SPECIFICALLY DESIGNED ENV IMMUNOGENS		NIAID	8944273	7U19AI109632-02	7	U19	AI	109632	2			1870544	STAMATATOS, LEONIDAS A	STAMATATOS, LEONIDAS A		Not Applicable	Fred Hutch	 	2014	1066201		1066201
MOLECULAR PREDICTORS OF PROSTATE CANCER PROGRESSION AND MORTALITY		NCI	8933573	5P50CA097186-12	5	P50	CA	97186	12		7587	1939896	STANFORD, JANET L	STANFORD, JANET L		Not Applicable	Fred Hutch	 	2014		197023	197023
CAREER DEVELOPMENT PROGRAM		NCI	8933583	5P50CA097186-12	5	P50	CA	97186	12		7597	1939896	STANFORD, JANET L	STANFORD, JANET L		Not Applicable	Fred Hutch	 	2014		165573	165573
AGGRESSIVE PROSTATE CANCER: LINKING EPIGENOMICS AND GENETICS FOR PREVENTION		NCI	8635188	1K05CA175147-01A1	1	K05	CA	175147	1	A1		1939896	STANFORD, JANET L	STANFORD, JANET L		Not Applicable	Fred Hutch	 	2014	88959		88959
PREVENTING TUMOR RELAPSE WITH BIOMATERIAL-SUPPORTED LYMPHOCYTE IMPLANTS		NCI	8612583	1R01CA181413-01	1	R01	CA	181413	1			10324356	STEPHAN, MATTHIAS 	STEPHAN, MATTHIAS		Not Applicable	Fred Hutch	 	2014	341011		341011
DISCOVERY AND OPTIMIZATION OF AML PROGNOSTIC BIOMARKERS		NCI	8625275	5R01CA160872-03	5	R01	CA	160872	3			2046369	STIREWALT, DEREK L	STIREWALT, DEREK L		Not Applicable	Fred Hutch	 	2014	470412		470412
STRUCTURE; FUNCTION AND ENGINEERING OF NUCLEASE CATALYSTS		NIGMS	8601706	5R01GM049857-19	5	R01	GM	49857	19			1859097	STODDARD, BARRY L.	STODDARD, BARRY L.		Not Applicable	Fred Hutch	 	2014	368498		368498
MEGATALS: HYPERSPECIFIC REAGENTS FOR TARGETED GENE MODIFICATION AND CORRECTION		NIGMS	8629497	1R01GM105691-01A1	1	R01	GM	105691	1	A1		1859097	STODDARD, BARRY L.	STODDARD, BARRY L.		Not Applicable	Fred Hutch	 	2014	334400		334400
NONMYELOABLATIVE HEMATOPOIETIC CELL ALLOTRANSPLANTS		NCI	8733522	5P01CA018029-39	5	P01	CA	18029	39		5850	1875723	STORB, RAINER F.	STORB, RAINER F.		Not Applicable	Fred Hutch	 	2014		324112	324112
CORE C: ADMINISTRATIVE SERVICES		NCI	8742469	2P01CA078902-16	2	P01	CA	78902	16		5392	1875723	STORB, RAINER F.	STORB, RAINER F.		Not Applicable	Fred Hutch	 	2014		240351	240351
PROJECT 1: PREVENTING ACUTE GVHD AND TREATING CHRONIC GVHD IN A CANINE MODEL		NCI	8742470	2P01CA078902-16	2	P01	CA	78902	16		5393	1875723	STORB, RAINER F.	STORB, RAINER F.		Not Applicable	Fred Hutch	 	2014		627064	627064
PROGRAM INTEGRATION AND MANAGEMENT		NCI	8933144	2P01CA078902-16	2	P01	CA	78902	16		7384	1875723	STORB, RAINER F. 	STORB, RAINER F.		SANDMAIER, BRENDA MARIE	Fred Hutch	 	2014		19085	19085
HEMATOPOIETIC CHIMERISM AFTER STEM CELL ALLOGRAFTS		NCI	8742466	2P01CA078902-16	2	P01	CA	78902	16			1875723	STORB, RAINER F. 	STORB, RAINER F.		SANDMAIER, BRENDA MARIE	Fred Hutch	 	2014	1846366		1846366
BIOSTATISTICS 		NCI	8733524	5P01CA018029-39	5	P01	CA	18029	39		5853	9253393	STORER, BARRY E.	STORER, BARRY E.		Not Applicable	Fred Hutch	 	2014		356167	356167
CORE A: BIOSTATISTICS AND DATA MANAGEMENT		NCI	8742467	2P01CA078902-16	2	P01	CA	78902	16		5390	1969094	STORER, BARRY E.	STORER, BARRY E.		Not Applicable	Fred Hutch	 	2014		220755	220755
STRUCTURE/FUNCTION STUDIES OF IMMUNOGEN RECOGNITION BY ANTI-HIV ANTIBODY B12		NIAID	8960135	7P01AI094419-05	7	P01	AI	94419	5		7755	1885675	STRONG, ROLAND K	STRONG, ROLAND K		Not Applicable	Fred Hutch	 	2014		533746	533746
CONTRACT # HHSN261200800005I; OPTION PERIOD 1 (10/15/08 - 4/13/09). TASK 1 : WEB SITE & APPLICATIONS DESIGN; DEVELOPMENT & SUPPORT SERVICES; 6-MOS		NCI	8885289	261201300012I-0-26100003-1		N03						12445560	SWARTZ, STEPHEN 	SWARTZ, STEPHEN		Not Applicable	Fred Hutch	 	2014	3777951		3777951
INTERNET STUDIES TO ENHANCE LONG TERM SURVIVORSHIP AFTER HEMATOLOGIC MALIGNANCY		NCI	8704892	5R01CA160684-04	5	R01	CA	160684	4			1883979	SYRJALA, KAREN LESLIE	SYRJALA, KAREN LESLIE		Not Applicable	Fred Hutch	 	2014	639130		639130
SHARED HOST GENETICS AND BACTERIAL ADAPTATION IN THE TRANSMISSION OF H. PYLORI		NIDDK	8589590	5K01DK090103-03	5	K01	DK	90103	3			9382795	TALARICO, SARAH 	TALARICO, SARAH		Not Applicable	Fred Hutch	 	2014	100100		100100
PCPT AND SELECT COHORTS: CORE INFRASTRUCTURE SUPPORT FOR CANCER RESEARCH		NCI	8738631	5UM1CA182883-02	5	UM1	CA	182883	2			7021575	TANGEN, CATHERINE M. 	TANGEN, CATHERINE M.		THOMPSON, IAN M.	Fred Hutch	 	2014	991495		991495
LINEAGE DETERMINATION IN MUSCLE		NIAMS	8631039	5R01AR045113-17	5	R01	AR	45113	17			1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J		Not Applicable	Fred Hutch	 	2014	374000		374000
D4Z4 CODING TRANSCRIPTS AND FSHD		NIAMS	8608997	5R01AR045203-15	5	R01	AR	45203	15			1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J		Not Applicable	Fred Hutch	 	2014	364613		364613
SMCHD1 PATHWAYS AS CANDIDATE TARGETS FOR FSHD		NIAMS	8687333	1R01AR066248-01	1	R01	AR	66248	1			1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J		Not Applicable	Fred Hutch	 	2014	480728		480728
RNA REGULATION IN FSHD		NINDS	8634146	5P01NS069539-05	5	P01	NS	69539	5		6883	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J		Not Applicable	Fred Hutch	 	2014		278642	278642
ADMINISTRATIVE CORE		NINDS	8634150	5P01NS069539-05	5	P01	NS	69539	5		6888	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J		Not Applicable	Fred Hutch	 	2014		78130	78130
